Company,Ticker,Short,Category,Financial
AUROPHARMA.NS,aurobindopharma,AP,pharmaceuticals,AP
BIOCON.NS,biocon,BL03,pharmaceuticals,BL03
CADILAHC.NS,cadilahealthcare,CHC,pharmaceuticals,CHC
CIPLA.NS,cipla,C,pharmaceuticals,C
DIVISLAB.NS,divislaboratories,DL03,pharmaceuticals,DL03
DRREDDY.NS,drreddyslaboratories,DRL,pharmaceuticals,DRL
LUPIN.NS,lupin,L,pharmaceuticals,LC03
SUNPHARMA.NS,sunpharmaceuticalindustries,SPI,pharmaceuticals,SPI
TORNTPHARM.NS,torrentpharmaceuticals,TP06,pharmaceuticals,TP06
BANKINDIA.NS,bankindia,BOI,banks-public-sector,BOI
MAHABANK.NS,bankmaharashtra,BM05,banks-public-sector,BM05
CANBK.NS,canarabank,CB06,banks-public-sector,CB06
CENTRALBK.NS,centralbankindia,CBO01,banks-public-sector,CBO01
INDIANB.NS,indianbank,IB04,banks-public-sector,IB04
IOB.NS,indianoverseasbank,IOB,banks-public-sector,IOB
J&KBANK.NS,jammukashmirbank,JKB,banks-private-sector,JKB
UCOBANK.NS,ucobank,UCO,banks-public-sector,UCO
UNIONBANK.NS,unionbankindia,UBI01,banks-public-sector,UBI01
BRIGADE.NS,brigadeenterprises,BE08,constructioncontracting-real-estate,BE08
DLF.NS,dlf,D04,constructioncontracting-real-estate,D04
GODREJPROP.NS,godrejproperties,GP11,constructioncontracting-real-estate,GP11
IBREALEST.NS,indiabullsrealestate,IRE01,constructioncontracting-real-estate,IRE01
OBEROIRLTY.NS,oberoirealty,OR,constructioncontracting-real-estate,OR
OMAXE.NS,omaxe,O02,constructioncontracting-real-estate,O02
PHOENIXLTD.NS,phoenixmills,PM02,constructioncontracting-real-estate,PM02
PRESTIGE.NS,prestigeestatesprojects,PEP02,constructioncontracting-real-estate,PEP02
SOBHA.NS,sobha,SD6,constructioncontracting-real-estate,SD6
SUNTECK.NS,sunteckrealty,SR05,constructioncontracting-real-estate,IE06
RELIANCE.NS,relianceindustries,RI,refineries,RI
BPCL.NS,bharatpetroleumcorporation,BPC,refineries,BPC
IOC.NS,indianoilcorporation,IOC,refineries,IOC
BHARTIARTL.NS,bhartiairtel,BA08,telecommunications-service,BTV
ASIANPAINT.NS,asianpaints,AP31,paintsvarnishes,API
NTPC.NS,ntpc,NTP,power-generationdistribution,NTP
POWERGRID.NS,powergridcorporationindia,PGC,power-generationdistribution,PGC
GRASIM.NS,grasimindustries,GI01,diversified,GI01
ULTRACEMCO.NS,ultratechcement,UTC01,cement-major,UTC
SHREECEM.NS,shreecements,SC12,cement-major,SC12
GAIL.NS,gailindia,GAI,oil-drillingexploration,GAI
UPL.NS,upl,UP04,chemicals,SI10
ADANIPORTS.NS,adaniportsspecialeconomiczone,MPS,infrastructure-general,MPS
ONGC.NS,oilnaturalgascorporation,ONG,oil-drillingexploration,ONG
INFRATEL.NS,bhartiinfratel,BI14,telecommunications-equipment,BI26
IDBI.NS,idfc,IDF,finance-term-lending-institutions,IDB
